Bar,Beer,Type,Price
Broome's,Blonde French Golden Ale,beer,13.11818117
The Frozen Hearth,Pub Lager,beer,12.83182923
The Shakespeare,Light Beer,beer,12.37846642
The Woolpack,Western Lager,beer,13.23824641
The Winchester Tavern,Titan IPA,beer,10.07172573
The Cat & Fiddle,Premium Pils,beer,9.198103529
Rosie's Bar,Nest Weizen,beer,11.87695102
Shooters,Golden Caramel Lager,beer,14.6060556
Seagrass,Premium Czech Dark Lager,beer,11.92419014
The Leaky Cauldron,Bear Southern Blonde,beer,10.86963844
The Moon Under Water,Wheat,beer,10.01801981
Korova Milk Bar,Hefe-Weiss Premium,beer,13.84915448
The Rose & Thorn,Salvation,beer,14.13766106
The Pig and Whistle,Strong Pale Ale,beer,13.81796121
Electric Psychedelic Pussycat Swingers Club,Hot wings,food,8.6
Samoan Joe's,Native Ale,beer,12.78553317
Maccadam's Old Oil House,Premium Ale,beer,13.78231244
The Pool Hall,Raspberry Wheat,beer,9.387788742
Four Shields Tavern,Black Label,beer,14.4025626
Dagmar,Weisse Hefe-Weizen,beer,14.34560762
Joe's,Original Leipziger Bier,beer,11.83383607
Night Spot,Doppio Malto,beer,11.03926361
Jack Rabbit Slim's,Amber Lager,beer,11.30879211
MacLaren's Pub,Schwarzbier,beer,12.0658471
Corrado Italian Bistro,Premium Czech Dark Lager,beer,13.92419014
The Aigburth Arms,Organic Hefe-Weizen,beer,12.95702124
Paddy's Pub,Revenge Brown Ale,beer,14.26435861
Lusty Leopard,River Porter,beer,11.79436462
The Last Chance Saloon,Redpoint Ale,beer,9.152218975
Four Shields Tavern,Bear Ultra Blonde,beer,12.18233341
Seagrass,Merry Monks' Ale,beer,12.37942648
The Oblivion Bar,One Porter,beer,10.97737954
Snakehole Lounge,Blue Fin Stout,beer,12.39145403
The Plumbers Arms,Mozzarella Sticks,food,6.11
The Winking Skeever,Red Irish Ale,beer,11.47627984
Dal Riata,Amberbier,beer,13.08856234
Dino's Bar and Grill,K-9 Cruiser Altitude Ale,beer,12.89409586
Rolliver's Inn,Holy Grail Ale,beer,14.34905689
Seagrass,Woodstock Wheat,beer,12.58659834
The Cat & Fiddle,Amberbier,beer,9.088562344
Trees Lounge,Revenge Brown Ale,beer,14.26435861
Porky's,Hard Lemonade,beer,12.97758228
O'Malley's,Bitter,beer,9.073319712
Korova Milk Bar,K-9 Cruiser Altitude Ale,beer,13.89409586
Romanoff's,Witches Brew,beer,11.66354337
The Duke Of Burgundy,Slam Dunkel,beer,12.09930376
Rovers Return Inn,Aprihop,beer,16.87028123
The Pig and Whistle,Fine Malt Liquor,beer,11.48090366
Wandin Valley RSL,Kwak,beer,9.730098905
Snakehole Lounge,Oatmeal Porter,beer,10.64653205
Wonder Bar,Mountain Five Malt Ale,beer,11.84317575
The Broken Drum/The Mended Drum,Easy Beer,beer,10.53121356
Broome's,All Natural Tripel Blonde Ale,beer,10.86468998
The Count's Arms,Uff-da Bock,beer,13.73244762
Wurstbraterei,Fried pickles,food,6.7
Trees Lounge,Tripel Reserve,beer,12.21948223
The Elephant,Munich Dark,beer,15.80682334
The Feed Bag,90 Minute Imperial IPA,beer,13.99692124
Dexter Lake Club,Traditional Red Ale,beer,11.08894809
Lucky Lockup,471 double IPA,beer,11.87545797
De Rossi's Wine Bar,Almond Stout,beer,14.08273728
The Kebab & Calculator,Red Ale,beer,12.15201693
Border Watch Inn,Pale Beer,beer,15.14944704
Rolliver's Inn,Autumn Lager,beer,16.70162507
The Oak and Crosier,Eye Pilsner,beer,10.25455135
Rowlf's Tavern,London Porter,beer,10.57685356
The Oblivion Bar,Hat Blind Faith,beer,9.160294229
The Moonrakers,Chocolate Stout,beer,9.319965969
Mancini's Family Restaurant,Copper Ale,beer,10.20480885
Vardi's,London Pride,beer,12.57636677
The Frozen Hearth,Golden Caramel Lager,beer,13.6060556
The Thorax Bar,Red Banshee Ale,beer,10.49713158
The Spotted Dog,Dunkel Weisse,beer,13.18018985
The Armada Room,Amberbier,beer,11.08856234
The Bloated Float Inn,Honey Cream Ale,beer,14.27566054
Snakehole Lounge,Rip Curl,beer,12.44357233
The Armada Room,Long Iron Bohemian Style Pilsner,beer,10.76029753
The Feed Bag,Noire,beer,16.34416099
The Kit Kat Klub,Garry Dark Ale,beer,10.87877497
Salty Sailor Tavern,Irish Lager,beer,14.59427726
Jack's Crocodile Bar,Red Tail Ale,beer,13.8744648
Copacabana,Fraises Lambic,beer,10.47850727
Duke's Pub,Desert Pils,beer,14.55768757
Gus's Galaxy Grill,Bière Farmhouse Ale,beer,9.422112254
Fangtasia,Dogtoberfest,beer,10.4581757
Maccadam's Old Oil House,Winter Skål,beer,14.4299418
Pedro McKinnon,Pale Rider,beer,14.64523937
The Queen Victoria,Lemon Hooch,beer,10.92000633
Founding Fathers,Premium Pils,beer,10.19810353
The Thorax Bar,Irish Lager,beer,11.59427726
The Yellow Flag,Gubna Imperial IPA,beer,8.854198673
The Frozen Hearth,Summerfest,beer,14.60933244
The Plot and Plaster,Moon Man,beer,15.45748689
The Shakespeare,Urquell,beer,11.11687351
Noah's Bar,Baron Ale,beer,15.18135174
Deville,Damm,beer,11.5563461
The Boom Boom Room,Snake Dog IPA,beer,12.70849598
Braidwood Inn,Eye of the Hawk Ale,beer,14.86645965
Dugout Inn,Buckwheat Ale,beer,9.508126508
The Iron Horse,Ultra,beer,11.44842697
The Aidensfield Arms,Morimoto Black Obi,beer,16.18709489
The Learned Goat,Schwarze Weisse,beer,13.62721886
The Elephant,Organic Hefe-Weizen,beer,13.95702124
The Plot and Plaster,Hefeweizen,beer,14.77941702
The Oak and Crosier,Dancing Man Wheat,beer,12.65655364
Paddy's Pub,Abbey Ale,beer,12.69714708
Jack Rabbit Slim's,Turbodog,beer,12.46603984
The Peach Pit,Bock,beer,13.95712414
Rick's Café Américain,Red Rush Ale,beer,14.41215583
The Kit Kat Klub,Sour Brown Ale,beer,10.1664484
Bodarks Bus Stop Restaurant,Star Wheat Beer,beer,10.99449279
The Elephant,Premium Light,beer,13.74733737
Cohan's,Enigma,beer,8.493336899
The Bloated Float Inn,Buckwheat Ale,beer,12.50812651
The Crazy Cock,Dunkel Weisse,beer,9.180189852
O'Malley's Bar,Premium,beer,14.75925954
The Silver Dollar Saloon,Hefeweizen,beer,14.77941702
Cockatoo Inn,Dark Beer,beer,13.65205835
The Pilgrim's Rest,Dark Beer,beer,13.65205835
Night Spot,de Bourgogne,beer,10.55281639
The Prancing Pony,Pale Beer,beer,11.14944704
The Elephant,Widow Oatmeal Stout,beer,12.39696608
The Maidenhead,Honey Brown Lager,beer,15.91738549
The Leaky Cauldron,Pretzel,food,9.04
Eden Hall,Pilsen,beer,10.57949761
Trees Lounge,Woodstock Wheat,beer,13.58659834
The Mucky Duck,High Life,beer,12.88736757
Cocktails and Dreams,Pils im Stein,beer,11.56574665
Copa,Organic Hefe-Weizen,beer,14.95702124
Eden Hall,Western Lager,beer,10.23824641
Mr. Pubbs,Kwak,beer,11.7300989
"The Hand & Racquet, East Cheam",Revenge Brown Ale,beer,15.26435861
The Ballroom,Burly Brown,beer,14.08692871
Kennedy's,Brau-Weisse,beer,13.07277843
Quark's,Special,beer,10.60984215
Mr. Pubbs,Sliders,food,9.64
The Malt Shovel,Illumination Double IPA,beer,11.19501123
Shooters,Winter Ale,beer,15.27102832
The Moon Under Water,Broken Halo IPA,beer,11.46990325
O'Malley's,Hex Nut Brown Ale,beer,9.918897332
The Count's Arms,Slaughter Ale,beer,11.81551671
The Bamboo Lounge,Baron Ale,beer,12.18135174
Old Prospector Saloon,Summer Brew,beer,12.56778006
The Tall Ship,Best Light,beer,15.24797315
McAnally's,Anniversary Ale,beer,10.14686995
The Pig and Whistle,Harbor Real Ale,beer,11.86178177
Dagmar,Bohemian Black Lager,beer,14.85971873
The Lion and Unicorn,Equis,beer,10.61156794
The Admiral Benbow Inn,Premium Czech Dark Lager,beer,12.92419014
Mr. Pubbs,River Vienna Lager,beer,11.3654341
Y Deri Arms,Pale Rider,beer,14.64523937
John McRory's Place,Old Brown Ale,beer,12.98360337
Founding Fathers,Red Label,beer,9.243372184
Callahan's Place,Ants,beer,12.37624432
The Learned Goat,Bitter,beer,11.07331971
De Rossi's Wine Bar,Premium Bavarian Pilsner,beer,13.14475274
Puzzles,Black Mocha Stout,beer,14.17523294
The Ivy Bush,Rip Curl,beer,15.44357233
The Old Pink Dog,Slam Dunkel,beer,12.09930376
World's End Tavern,Acker Dark,beer,14.97151722
Broome's,Turbodog,beer,11.46603984
Playaz Club,Gubna Imperial IPA,beer,12.85419867
Dugout Inn,Old Scratch Amber Lager,beer,12.03548118
Snakehole Lounge,Spotted Cow Ale,beer,9.107218187
Roulette,Burly Brown,beer,13.08692871
Poison,Australian Best Ale,beer,13.70847724
Trees Lounge,Imperial Pale Ale,beer,12.23265988
SaxonwoldShebeen,Red Jack,beer,15.33124331
The Lamb & Flag,Select,beer,11.23710197
Cocktails and Dreams,& Barnes Festive Ale,beer,10.88529263
Milliway's,U.S. Pale Ale,beer,10.22625468
The Queen Victoria,Kapittel Pater,beer,11.33622234
The Mucky Duck,Burly Brown,beer,14.08692871
The Count's Arms,Unfiltered Wheat Beer,beer,11.58088242
Tavern of Time,Weissbier,beer,14.20937054
The Maidenhead,Black Label,beer,16.4025626
Torchy's,London Pride,beer,15.57636677
The Last Resort,Ale,beer,13.68362194
Shooters,Weisse,beer,14.61754716
Night Spot,Lightning Bold Gold,beer,12.69584671
Talon Bar,India Pale Ale,beer,15.50699488
Rolliver's Inn,River Pale Ale,beer,15.46625351
SaxonwoldShebeen,Oktoberfest,beer,13.51963075
Noah's Bar,Lite,beer,16.11307905
The Hand of Glory,Ness,beer,15.91890051
Windpeak Inn,Natural Blonde,beer,11.33382584
The Pie Hole,Native Ale,beer,13.78553317
Poison,Decadent,beer,16.19329632
The Ivy Bush,Rib Mountain Rye,beer,14.01464391
Joe's,Helles Lager,beer,12.05353214
The Boom Boom Room,Brutal Bitter,beer,11.60861447
The Old Pink Dog,Strong Pale Ale,beer,15.81796121
Bodarks Bus Stop Restaurant,Blue Fin Stout,beer,11.39145403
Duke's Pub,Scout Stout,beer,12.7697839
Rosie's Bar,Dead Guy Ale,beer,10.83035174
Maxwell's Nightclub,Nastro Azzurro,beer,14.1133803
The Bada Bing,Troegenator Doppelbock,beer,12.76984901
Rolliver's Inn,Springs Premium Lager,beer,14.16565694
The Silent Woman,Honey Brown Lager,beer,10.91738549
Snakehole Lounge,Vintage Ale,beer,12.78488259
"The Hand & Racquet, East Cheam",Garry Dark Ale,beer,15.87877497
Louie's,Almond Stout,beer,11.08273728
Rovers Return Inn,Knight,beer,15.44093569
Dagmar,Vintage Ale,beer,16.78488259
Lusty Leopard,Autumnal Fire,beer,13.09864778
Tabard,Brown Ale,beer,13.83234763
Rosie's Bar,Broken Halo IPA,beer,10.46990325
The Broken Stool,Creek ESB,beer,14.97460357
Low Point,HefeWeizen,beer,10.88743481
The Tall Ship,Dubbel Reserve,beer,14.33229002
The Place,Special,beer,10.60984215
Louie's,Rip Curl,beer,12.44357233
Noah's Bar,Dubbel Reserve,beer,15.33229002
Romanoff's,St. Terese's Pale Ale,beer,14.38163605
The Pilgrim's Rest,Commemorator,beer,13.54957287
The Aidensfield Arms,Old Scratch Amber Lager,beer,16.03548118
The Old Haunt,Golden Ale,beer,10.66144563
Dagmar,Pale Ale,beer,15.52198796
Porky's,Wheat,beer,11.01801981
Mr. Pubbs,Aprihop,beer,13.87028123
Cooper's,Hop Wallop,beer,12.39106785
Cockatoo Inn,Kellerweis,beer,12.07633031
The Kit Kat Klub,Summer Shandy,beer,8.400148632
The Eolian,Drool Brown Ale,beer,10.68759319
The Feed Bag,Macaroni and Cheese,food,11.42
The Winchester Club,Old Numbskull,beer,13.72026033
The Sole Regret,Original White Ale,beer,8.060525285
Dagmar,Oktoberfest,beer,14.51963075
Callahan's Place,Boombalatty,beer,14.63432639
Shooters,Witte,beer,14.70001537
Cohan's,Black Wattle Superior,beer,8.543430087
Corrado Italian Bistro,Buck German Alt,beer,14.87699243
Lusty Leopard,Star Wheat Beer,beer,12.99449279
The Thorax Bar,Ale,beer,10.68362194
Bob's Country Bunker,Copper Creek Amber Ale,beer,15.66274414
The Bloated Float Inn,Original,beer,14.9099644
Charlie's,Especial,beer,12.18921946
The Old Pink Dog,Nastro Azzurro,beer,13.1133803
The Pie Hole,Summer Ale,beer,13.52467837
LUX,Burton Baton,beer,13.69357612
The Bannered Mare,Slaughter Ale,beer,10.81551671
The Last Chance Saloon,Lightning Bold Gold,beer,11.69584671
The Shakespeare,Weisse Hefe-Weizen,beer,11.34560762
Low Point,Irish Stout,beer,9.415347496
The Shakespeare,Anniversary Ten,beer,12.24772278
Founding Fathers,Calibogue Amber,beer,9.873351202
Samoan Joe's,Eye of the Hawk Ale,beer,11.86645965
SaxonwoldShebeen,Potstickers,food,10.1
﻿Ace of Clubs,Mai-Ur-Bock,beer,10.70448936
Braidwood Inn,River Porter,beer,14.79436462
The Bannered Mare,Ommegeddon,beer,13.45135069
Gallow's End Tavern,Oatmeal Stout,beer,8.14450163
The Woolpack,Baron Ale,beer,15.18135174
The Bull,London Porter,beer,12.57685356
The Ivy Bush,Buck German Alt,beer,13.87699243
The Winking Skeever,Pale Beer,beer,13.14944704
The Earl Of Osbourne,Blonde Lager,beer,14.09665518
The Ballroom,Autumnal Fire,beer,14.09864778
Boobies,Brau-Weisse,beer,14.07277843
The Rose & Thorn,Blueberry Amber,beer,14.54561071
The Butchers Arms,Weizen-Eisbock,beer,11.21464158
SaxonwoldShebeen,Acker,beer,15.1963068
Roulette,Diesel Lager Beer,beer,12.52679251
The Orange Tree,Old Speckled Hen,beer,10.80593185
Cockatoo Inn,Weizen-Eisbock,beer,13.21464158
The Aidensfield Arms,Eye of the Hawk Ale,beer,14.86645965
The Last Resort,Winter Storm,beer,14.54018156
Dugout Inn,Bohemian Black Lager,beer,10.85971873
Rolliver's Inn,Chocolate Brown Ale,beer,15.3648855
Wurstbraterei,Blueberry Amber,beer,11.54561071
The Brass Lantern,Kells Irish Lager,beer,14.57905151
O'Malley's Bar,Pub Draught,beer,13.80092554
Dal Riata,Super Premium Lager,beer,13.19976129
The Armada Room,Framboise,beer,10.71469721
The Tall Ship,Old Numbskull,beer,14.72026033
The Orange Tree,British Ale,beer,10.02251754
The Malt Shovel,Black Wheat,beer,9.911892714
Rowlf's Tavern,Kindl Weisse,beer,10.34385522
Kennedy's,New York Amber,beer,15.62169209
Cocktails and Dreams,Ridge Bock Oktoberfest,beer,11.85454421
The Lion and Unicorn,Storm King Stout,beer,12.19715414
Daddy Crab Leg's Crab Shack,Nachos,food,13.22
Lusty Leopard,Dorada,beer,11.09315816
Border Watch Inn,Raspberry Wheat,beer,13.38778874
Pedro McKinnon,Hard Lemonade,beer,15.97758228
The Rose & Thorn,Blue Ribbon,beer,12.71225605
The Admiral Benbow Inn,Doppio Malto,beer,14.03926361
The Silver Dollar Saloon,Heather Ale,beer,15.43507066
Porky's,Ultra,beer,11.44842697
The Silent Woman,HefeWeizen,beer,9.887434806
Charlie's,Blanca,beer,13.21078808
Frostfruit Inn,St. Terese's Pale Ale,beer,13.38163605
The Leaky Cauldron,Hammer Imperial Porter,beer,11.3947359
Copa,Knight,beer,15.44093569
The Malt Shovel,Expedition Ale,beer,10.76177429
The Frozen Hearth,Cleary Red Amber Ale,beer,12.09921961
The Crab Shed,Amber,beer,10.96165882
Copa,Pilsen,beer,13.57949761
The Buck's Head Inn,London Porter,beer,14.57685356
The Brick,Kapittel Pater,beer,10.33622234
The Maidenhead,60 Minute IPA,beer,15.31762692
Samoan Joe's,Double Bag Ale,beer,13.95580848
The Frozen Hearth,Honey Brown Lager,beer,14.91738549
The Peach Pit,U.S. Pale Ale,beer,13.22625468
The Grind & Jolt Cafe,Sawtooth Ale,beer,9.675039607
Rick's Café Américain,Elf Double Bock,beer,11.38281654
Copa,Old Chub Scottish Style Ale,beer,15.83233123
Dino's Bar and Grill,Kaiser Imperial Oktoberfest,beer,10.55802705
The Learned Goat,Oak Aged Beer,beer,14.90215827
Jack Rabbit Slim's,Expedition Ale,beer,13.76177429
The Mucky Duck,Black Hawk Stout,beer,14.160211
Central Perk,Red Rush Ale,beer,13.41215583
The Crazy Cock,Belgian Style Golden Ale,beer,11.13616636
The Rose & Crown,Wych Ale,beer,11.34145765
Maxwell's Nightclub,Fried pickles,food,11.7
The Place,California IPA,beer,12.77224185
Mama Chow's Fine Dining,Organic Munster Alt,beer,13.91271468
LUX,Irish Stout,beer,10.4153475
Broome's,Baltic Porter,beer,12.78257987
The Oblivion Bar,Organic Munster Alt,beer,12.91271468
The Prancing Pony,Two Hearted Ale,beer,12.81686514
Colonial Taphouse,Prospere,beer,10.43789173
Elfsong Tavern,Springs Premium Lager,beer,13.16565694
Border Watch Inn,IPA,beer,15.16728231
Porky's,UFO Hefeweizen,beer,12.52158971
Wurstbraterei,Slaughter Ale,beer,8.81551671
The Malt Shovel,XXX Stout,beer,8.9360418
Daddy Crab Leg's Crab Shack,Raison D'Etre,beer,15.16082053
The Last Resort,Hot wings,food,10.6
The Armada Room,Ed's Cave Creek Chili Beer,beer,10.0700678
The Thorax Bar,Classica,beer,12.20037924
Free the Paedos,Dunkel Weisse,beer,10.18018985
Porky's,Select,beer,11.23710197
Copacabana,Chips,food,7.78
Pedro McKinnon,Porter,beer,14.27921083
Corrado Italian Bistro,Alt,beer,13.58085843
Tabard,Pur Malt,beer,14.22635707
The Bamboo Lounge,Oktoberfest,beer,11.51963075
The Bada Bing,Abbey Ale,beer,10.69714708
Eden Hall,Chips,food,9.78
Friendsy's,Black Wheat,beer,10.91189271
Rolliver's Inn,Butte Porter,beer,13.15055629
Jack Rabbit Slim's,Dutch Amber,beer,13.64922613
Maxwell's Nightclub,Hat Blind Faith,beer,13.16029423
The Pie Hole,Golden Amber Ale,beer,12.24082244
Kelcy's,Pub Draught,beer,9.80092554
The Butchers Arms,Weisse,beer,11.61754716
The Elephant,Moon Man,beer,14.45748689
The Mucky Duck,Moerlein Select Lager,beer,11.17149254
The Admiral Benbow Inn,Traditional Red Ale,beer,12.08894809
The Old Haunt,Mothership Wit,beer,11.22752745
The Old Haunt,Diesel Lager Beer,beer,12.52679251
Cockatoo Inn,India Export Pale Ale,beer,12.54397494
Old Prospector Saloon,V-Twelve,beer,11.31640671
SaxonwoldShebeen,Baltic Porter,beer,14.78257987
Dugout Inn,Sliders,food,8.64
The Maidenhead,Wheat Beer,beer,16.52486496
The Frozen Hearth,Horseshoe,beer,13.25962291
Four Shields Tavern,Traditional Pilsner,beer,13.99964357
The Pilgrim's Rest,Keg Can,beer,12.31897606
Rolliver's Inn,Elephant Lager,beer,13.59654474
Friendsy's,Organic Belgian Ale,beer,10.81345971
Poor Richard's,Alligator Ale,beer,11.89450477
The Queen Victoria,Mountain Tasmanian Pale Ale,beer,9.569065403
The Shakespeare,Raison D'Etre,beer,12.16082053
SaxonwoldShebeen,Australian Best Ale,beer,12.70847724
Essence,Framboise,beer,8.714697205
The Learned Goat,Maharaja Imperial IPA,beer,14.66184745
Gallow's End Tavern,V-Twelve,beer,10.31640671
Milliway's,Dunkel Weiss,beer,11.18972249
Playaz Club,Transatlantique Kriek,beer,13.22925008
Central Perk,Kapittel Pater,beer,12.33622234
Table Salt,Midas Touch,beer,15.92880928
Fortune Casino,Wheat Beer,beer,13.52486496
Silver,Irish Stone Brewed Light,beer,14.94367414
The Old Haunt,Auburn Ale,beer,10.63551019
The Hand of Glory,Island Pils,beer,13.61506605
The Woolpack,Christmas Ale,beer,14.83042841
Dino's Bar and Grill,Ed's Cave Creek Chili Beer,beer,10.0700678
MacLaren's Pub,Pedigree,beer,9.232960284
The Feed Bag,Salvation,beer,16.13766106
The Oblivion Bar,Schwarze Weisse,beer,11.62721886
The Snug,Messiah Bold,beer,12.71629936
The Mucky Duck,Malzbier,beer,12.135653
Tabard,Scout Stout,beer,11.7697839
The Pig and Whistle,Red,beer,13.01165898
Elfsong Tavern,Cream Ale,beer,12.28360334
The Winchester Club,London Porter,beer,13.57685356
John McRory's Place,Apricot Ale,beer,11.23821202
The Rusty Anchor,Red Banshee Ale,beer,12.49713158
Kavanagh's Irish Pub,XXX Stout,beer,9.9360418
Alibi Bar,Summer Shandy,beer,12.40014863
Founding Fathers,India Export Pale Ale,beer,9.54397494
The Peach Pit,Island Wheat,beer,14.85858764
Lusty Leopard,Abbey Belgian Style Ale,beer,12.77953783
Broome's,St. Terese's Pale Ale,beer,13.38163605
Alibi Bar,Organic Belgian Ale,beer,13.81345971
The Feed Bag,Long Iron Bohemian Style Pilsner,beer,13.76029753
Gus's Galaxy Grill,Loft Beer,beer,12.07219139
The Bull,Organic Munster Alt,beer,13.91271468
Snakehole Lounge,London Porter,beer,11.57685356
Fangtasia,Copper Ale,beer,8.204808845
Tavern of Time,Red Ale,beer,11.15201693
The Butchers Arms,Lightning Bold Gold,beer,13.69584671
Mos Eisley Cantina,Keg Can,beer,9.318976055
The Kit Kat Klub,90 Minute Imperial IPA,beer,8.996921237
LUX,Equis Amber,beer,13.33638099
Essence,Elfego Bock,beer,10.93389841
Copa,Calibogue Amber,beer,13.8733512
The Feed Bag,Ice,beer,14.77581652
Mos Eisley Cantina,Winter Warmer,beer,9.639716402
Colonial Taphouse,Witte,beer,9.700015368
Rick's Café Américain,Red Ale,beer,11.15201693
The Lion and Unicorn,Hibernator,beer,11.55060219
Crab Shack,Perfect Porter,beer,15.42304118
The Bull,V-Twelve,beer,12.31640671
Roulette,Weisse Hefe-Weizen,beer,11.34560762
Korova Milk Bar,Dale's Pale Ale,beer,12.68574182
Mama Chow's Fine Dining,Pikantus Dunkler Weizenbock,beer,12.87247119
Korova Milk Bar,Creamy Dark,beer,13.6491249
Milk Club,Prospere,beer,11.43789173
The Prancing Pony,Honey Wheat,beer,11.93846131
Rolliver's Inn,V-Twelve,beer,15.31640671
Jack Rabbit Slim's,Old Chub Scottish Style Ale,beer,13.83233123
The Crab Shed,Imperial Saison,beer,13.9216025
Louie's,California IPA,beer,11.77224185
Dexter Lake Club,60 Minute IPA,beer,13.31762692
The Grind & Jolt Cafe,Traditional Pilsner,beer,11.99964357
The Oblivion Bar,XXX Stout,beer,9.9360418
The Rusty Anchor,471 ESB,beer,11.76663681
The Brass Lantern,Especial,beer,14.18921946
Wandin Valley RSL,Elephant Lager,beer,8.596544744
Dal Riata,Maibock,beer,14.02560655
Colonial Taphouse,Premium Bavarian Pilsner,beer,9.144752744
The Orange Tree,Endo IPA,beer,10.24366726
The Bada Bing,Belgian Style Golden Ale,beer,13.13616636
De Rossi's Wine Bar,Pub Draught,beer,12.80092554
Rolliver's Inn,Burton Baton,beer,16.69357612
The Hanged Man,Baltic Thunder,beer,12.22590653
The Bannered Mare,India Pale Ale,beer,13.50699488
The Drunken Huntsman,Slaughter Ale,beer,8.81551671
Broome's,Curve Ball Kolsch,beer,11.32313695
Daddy Crab Leg's Crab Shack,Sea ESB,beer,15.09116878
Poison,Organic Belgian Ale,beer,14.81345971
The Bronze,Mild Ale,beer,9.675171394
The Moonrakers,Winter Skål,beer,11.4299418
The Admiral Benbow Inn,Celebration Lager,beer,13.70190361
Milliway's,Double Abbey Ale,beer,10.59837802
The Elephant,Oak Aged Beer,beer,15.90215827
The Globe and Anchor,de Charleroi White Ale,beer,10.89772159
The Bada Bing,Winter Warmer,beer,10.6397164
The Brass Lantern,Oktoberfest,beer,14.51963075
Dexter Lake Club,Berry Weiss,beer,13.50596382
Rosie's Bar,Potstickers,food,6.1
Pedro McKinnon,Hefe-Weizen Dunkel,beer,16.11059948
Rolliver's Inn,Brutal Bitter,beer,15.60861447
Tabard,Hazelnut Brown Nectar,beer,13.72698446
Mama Chow's Fine Dining,Imperial Weizen,beer,13.44137069
Kelcy's,Premium Czech Dark Lager,beer,9.924190143
Silver,Copperhead Ale,beer,14.49929325
